game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
fc059cdd-4c30-4070-80c2-9e6b3772b251,1,Rated rapid game,https://lichess.org/k1nfptDl,2024.07.11,?,revh,bonekchess,1-0,1815,+10,1797,-6,,,revh,1815,bonekchess,1797,18,B00,Time forfeit,600+0,2024.07.11,16:23:44,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
2d69e1f5-1895-4b3a-ac3e-ea8ad9a642f4,2,Rated rapid game,https://lichess.org/xPrK4klp,2024.07.10,?,olelko1962,revh,1-0,1842,+6,1825,-10,,,olelko1962,1842,revh,1825,17,A00,Normal,600+0,2024.07.10,20:45:21,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
a4101981-3dd8-4167-8c36-3c42dae76791,3,Rated rapid game,https://lichess.org/KzHDxE8M,2024.07.10,?,nuterax,revh,1-0,1773,+7,1837,-12,,,nuterax,1773,revh,1837,-64,C45,Normal,600+0,2024.07.10,20:35:44,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
d26d4b9d-a7d6-4f5d-be84-6bc848327d5e,4,Rated rapid game,https://lichess.org/CMWudolQ,2024.07.10,?,revh,Slowgrow,0-1,1849,-12,1801,+44,,,Slowgrow,1801,revh,1849,-48,B30,Normal,600+0,2024.07.10,20:29:11,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
879be5ac-5543-4e79-a7bb-68ca3cb98227,5,Rated rapid game,https://lichess.org/NvWZo6mi,2024.07.10,?,revh,DrVilppu,0-1,1860,-11,1864,+10,,,DrVilppu,1864,revh,1860,4,C41,Normal,600+0,2024.07.10,20:21:59,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
9fcf1e32-da87-4aa5-b91a-fe9d63512dd3,6,Rated rapid game,https://lichess.org/GtfuGUJU,2024.07.10,?,Alialjubouri1969,revh,1-0,1887,+6,1872,-12,,,Alialjubouri1969,1887,revh,1872,15,C30,Normal,600+0,2024.07.10,20:17:46,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
c9353479-a585-481f-a063-b878dc0758c0,7,Rated rapid game,https://lichess.org/kJfc9Bk6,2024.07.10,?,revh,Rbenitez77,0-1,1882,-10,1935,+5,,,Rbenitez77,1935,revh,1882,53,B00,Normal,600+0,2024.07.10,20:04:06,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
5c07821b-b691-4d0b-b2e6-80ea1a086023,8,Rated rapid game,https://lichess.org/bQEJBe7Q,2024.06.06,?,JuanFran88,revh,0-1,1875,-6,1874,+8,,,revh,1874,JuanFran88,1875,-1,C54,Normal,600+0,2024.06.06,21:42:06,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
5650f0b9-1746-4163-b0e3-97ebf7117847,9,Rated rapid game,https://lichess.org/92oJ6ykw,2024.06.06,?,revh,sandyapriliady48,0-1,1879,-5,2014,+3,,,sandyapriliady48,2014,revh,1879,135,C41,Normal,600+0,2024.06.06,21:34:14,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
57642217-5346-4343-9c5b-99681a3c24d9,10,Rated rapid game,https://lichess.org/xOQ5Wjrh,2024.06.06,?,vamosgloria-14637637,revh,1-0,1838,+6,1889,-10,,,vamosgloria-14637637,1838,revh,1889,-51,A56,Normal,600+0,2024.06.06,21:26:56,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
cb717af3-e627-4e67-b576-485ab1856ca9,11,Rated rapid game,https://lichess.org/pS9XgeRJ,2024.06.06,?,revh,ScorPionM,0-1,1898,-9,1839,+6,,,ScorPionM,1839,revh,1898,-59,B30,Normal,600+0,2024.06.06,21:11:39,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
7ccc7133-a5d6-4d28-a078-9569b844da3d,12,Rated rapid game,https://lichess.org/FgoYgP9d,2024.06.06,?,AliFakhoury,revh,1-0,1968,+6,1905,-7,,,AliFakhoury,1968,revh,1905,63,C52,Normal,600+0,2024.06.06,21:03:44,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
c4dea1ba-f2b3-4ca8-9451-9d9cdcb27773,13,Rated rapid game,https://lichess.org/iKuWEPVS,2024.05.24,?,revh,galuk21,1-0,1898,+7,1901,-6,,,revh,1898,galuk21,1901,-3,B30,Normal,600+0,2024.05.24,14:25:38,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
862f3045-41cc-41c4-a891-2c5dc5caff2d,14,Rated rapid game,https://lichess.org/jMGM0xOO,2024.05.24,?,poniemirsky,revh,1-0,1839,+7,1906,-8,,,poniemirsky,1839,revh,1906,-67,C44,Normal,600+0,2024.05.24,14:23:59,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
e6c94c31-77ee-4788-83db-3018ecf36804,15,Rated rapid game,https://lichess.org/GuR886o2,2024.05.23,?,revh,A7maadd,1-0,1900,+6,1861,-5,,,revh,1900,A7maadd,1861,39,C42,Time forfeit,600+0,2024.05.23,20:13:09,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
511dca3f-f716-460e-871c-082ea5eea2c2,16,Rated rapid game,https://lichess.org/pmutYiYf,2024.05.23,?,fedajin,revh,1-0,1874,+6,1908,-8,,,fedajin,1874,revh,1908,-34,A50,Normal,600+0,2024.05.23,20:06:42,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
45ccece9-87db-44f4-a9a3-4bc2645d3f10,17,Rated rapid game,https://lichess.org/m0n7ex5r,2024.05.23,?,revh,Dick6905,0-1,1915,-7,1906,+6,,,Dick6905,1906,revh,1915,-9,C13,Time forfeit,600+0,2024.05.23,19:47:55,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
64a74e61-d769-4a50-aec6-f45338ba81cd,18,Rated rapid game,https://lichess.org/AlaVfX4u,2024.05.23,?,revh,x-Lee-Yang-x,0-1,1921,-6,1997,+4,,,x-Lee-Yang-x,1997,revh,1921,76,C62,Normal,600+0,2024.05.23,19:36:05,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
9d6bf7c4-31d1-4aae-88a2-ea6e697b0453,19,Rated rapid game,https://lichess.org/qW0ZUdqE,2024.05.23,?,leo3030,revh,1-0,1911,+58,1928,-7,,,leo3030,1911,revh,1928,-17,C54,Normal,600+0,2024.05.23,19:30:16,Standard,,2024-08-21T18:46:55+0000,lichess_revh_2024-08-21.pgn
