rental_id,duration,duration_ms,bike_id,bike_model,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
57870195,3840,3840000,4229,,8/31/2016 20:49:00,,"Golden Square, Soho",8/31/2016 19:45:00,,"Albert Gate, Hyde Park",3451,1132,0
57852555,3840,3840000,242,,8/31/2016 15:19:00,,"Embankment (Savoy), Strand",8/31/2016 14:15:00,,"Albert Gate, Hyde Park",1192,1132,0
57872531,3840,3840000,728,,8/31/2016 22:12:00,,"Green Park Station, Mayfair",8/31/2016 21:08:00,,"Chepstow Villas, Notting Hill",200096,1120,1
57995603,2820,2820000,4375,,9/4/2016 17:10:00,,"Park Lane , Hyde Park",9/4/2016 16:23:00,,"Hyde Park Corner, Hyde Park",1037,1075,0
57933206,2820,2820000,2992,,9/2/2016 14:19:00,,"Wellington Arch, Hyde Park",9/2/2016 13:32:00,,"Serpentine Car Park, Hyde Park",1109,1217,1
58060400,2820,2820000,12779,,9/6/2016 18:00:00,,"St. Mark's Road, North Kensington",9/6/2016 17:13:00,,"William IV Street, Strand",300034,1028,0
57982105,2820,2820000,9054,,9/4/2016 11:28:00,,"Storey's Gate, Westminster",9/4/2016 10:41:00,,"Warwick Square, Pimlico",200202,3460,0
57986796,2820,2820000,13499,,9/4/2016 13:43:00,,"Black Lion Gate, Kensington Gardens",9/4/2016 12:56:00,,"Black Lion Gate, Kensington Gardens",1157,1157,1
58026205,1800,1800000,12582,,9/5/2016 18:19:00,,"Little Brook Green, Brook Green",9/5/2016 17:49:00,,"Bridge Avenue, Hammersmith",300101,300082,0
57883193,1800,1800000,12569,,9/1/2016 9:16:00,,"The Vale, Chelsea",9/1/2016 8:46:00,,"Oxford Road, Putney",300058,300078,0
57967891,1800,1800000,8858,,9/3/2016 14:52:00,,"Flamborough Street, Limehouse",9/3/2016 14:22:00,,"Regent's Row , Haggerston",200115,200064,0
57921138,1800,1800000,4210,,9/2/2016 8:31:00,,"Derry Street, Kensington",9/2/2016 8:01:00,,"Kennington Cross, Kennington",3436,1093,0
57849712,1800,1800000,11854,,8/31/2016 13:08:00,,"Park Lane , Hyde Park",8/31/2016 12:38:00,,"Park Lane , Hyde Park",1037,1037,0
58015527,1800,1800000,10793,,9/5/2016 12:42:00,,"Godliman Street, St. Paul's",9/5/2016 12:12:00,,"Wardour Street, Soho",971,1163,1
57898384,1800,1800000,5270,,9/1/2016 17:03:00,,"Hyde Park Corner, Hyde Park",9/1/2016 16:33:00,,"Paddington Green, Paddington",1075,2670,1
57945226,1800,1800000,7385,,9/2/2016 18:46:00,,"Arlington Road, Camden Town",9/2/2016 18:16:00,,"Museum of London, Barbican",200070,1043,0
58059756,1800,1800000,8814,,9/6/2016 17:33:00,,"Golden Lane, Barbican",9/6/2016 17:03:00,,"Bury Place, Holborn",967,200074,0
57987369,1800,1800000,712,,9/4/2016 13:39:00,,"Podium, Queen Elizabeth Olympic Park",9/4/2016 13:09:00,,"East Village, Queen Elizabeth Olympic Park",300021,300200,1
57952053,1800,1800000,5572,,9/2/2016 23:27:00,,"Hawley Crescent, Camden Town",9/2/2016 22:57:00,,"Bonny Street, Camden Town",200122,200105,0
